Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date,just_date
2002-02-13 00:00:00-05:00,1.6201284324090222,1.6933498919343073,1.6032958650042581,1.691666603088379,76216000,0.0,0.0,2002-02-13 00:00:00-05:00,2002-02-13
2002-02-14 00:00:00-05:00,1.7127074631238088,1.7160738807425333,1.6706261994624243,1.6832505464553833,11021600,0.0,0.0,2002-02-14 00:00:00-05:00,2002-02-14
2002-02-15 00:00:00-05:00,1.683250296573549,1.6874583581040796,1.6580016063358487,1.6748340129852295,8389600,0.0,0.0,2002-02-15 00:00:00-05:00,2002-02-15
2002-02-19 00:00:00-05:00,1.6664174250872352,1.6664174250872352,1.5780468648656503,1.6075037717819214,7410400,0.0,0.0,2002-02-19 00:00:00-05:00,2002-02-19
2002-02-20 00:00:00-05:00,1.6159203121217993,1.6622096300125122,1.6032958067631924,1.6622096300125122,6892800,0.0,0.0,2002-02-20 00:00:00-05:00,2002-02-20
2002-02-21 00:00:00-05:00,1.6563182533334786,1.67062588672105,1.6411689755669618,1.6580015420913696,6976800,0.0,0.0,2002-02-21 00:00:00-05:00,2002-02-21
2002-02-22 00:00:00-05:00,1.6706255786199593,1.6706255786199593,1.6159199882954574,1.6285443305969238,3525600,0.0,0.0,2002-02-22 00:00:00-05:00,2002-02-22
2002-02-25 00:00:00-05:00,1.6243360317457702,1.6537929360576809,1.6058203412915018,1.6411685943603516,3453600,0.0,0.0,2002-02-25 00:00:00-05:00,2002-02-25
2002-02-26 00:00:00-05:00,1.632752313053061,1.6580011569749333,1.6066619854749522,1.6411685943603516,2761600,0.0,0.0,2002-02-26 00:00:00-05:00,2002-02-26
2002-02-27 00:00:00-05:00,1.6285445445438023,1.629386188878099,1.5990876349523886,1.6117119789123535,4091200,0.0,0.0,2002-02-27 00:00:00-05:00,2002-02-27
2002-02-28 00:00:00-05:00,1.6159200538333172,1.6369606786981925,1.6075037717819214,1.6075037717819214,2751200,0.0,0.0,2002-02-28 00:00:00-05:00,2002-02-28
2002-03-01 00:00:00-05:00,1.6032959020275481,1.645377160983938,1.5974045514580157,1.630228042602539,1913600,0.0,0.0,2002-03-01 00:00:00-05:00,2002-03-01
2002-03-04 00:00:00-05:00,1.6369609141994856,1.6672593092052679,1.634435981062649,1.6580015420913696,3180800,0.0,0.0,2002-03-04 00:00:00-05:00,2002-03-04
2002-03-05 00:00:00-05:00,1.6495850624010786,1.6537931232674705,1.6125535167733476,1.6201281547546387,3444800,0.0,0.0,2002-03-05 00:00:00-05:00,2002-03-05
2002-03-06 00:00:00-05:00,1.619286404663145,1.6352773238595206,1.6159199882954574,1.6285443305969238,1316800,0.0,0.0,2002-03-06 00:00:00-05:00,2002-03-06
2002-03-07 00:00:00-05:00,1.6285447366630348,1.733747882952284,1.6285447366630348,1.7185986042022705,2700800,0.0,0.0,2002-03-07 00:00:00-05:00,2002-03-07
